date,initial_wealth,initial_weights,end_wealth,end_weights,transaction_cost
2024-05-27 00:00:00+00:00,2212.8899273939683,"[0.04814555 0.08362257 0.28230822 0.11776426 0.11431264 0.08698678
 0.         0.00146934 0.03223283 0.0394741  0.19368371 0.        ]",2203.7293598308484,"[4.81455469e-02 0.00000000e+00 2.82308224e-01 0.00000000e+00
 8.32667268e-17 2.67541849e-01 9.74445687e-02 1.46934150e-03
 3.22328323e-02 2.70857637e-01 0.00000000e+00 0.00000000e+00]",7
2024-06-03 00:00:00+00:00,2205.052542476964,"[4.72019508e-02 0.00000000e+00 2.72421383e-01 0.00000000e+00
 8.24217152e-17 2.74302491e-01 9.77890496e-02 1.46537245e-03
 3.09820057e-02 2.75837747e-01 0.00000000e+00 0.00000000e+00]",2191.881442051607,"[0.04720195 0.04399587 0.27242138 0.         0.04963324 0.27430249
 0.09778905 0.00146537 0.09727764 0.115913   0.         0.        ]",4
2024-06-10 00:00:00+00:00,2207.4440077464615,"[0.04644637 0.04354594 0.2646393  0.         0.04880794 0.28761672
 0.0962119  0.0014765  0.09659183 0.1146635  0.         0.        ]",2224.20497981501,"[0.04644637 0.04354594 0.2646393  0.         0.04880794 0.28761672
 0.0962119  0.0014765  0.09659183 0.1146635  0.         0.        ]",1
2024-06-17 00:00:00+00:00,2242.9809327118073,"[0.04639919 0.04359717 0.26752106 0.         0.04912645 0.28613611
 0.0962992  0.00146224 0.09503003 0.11442853 0.         0.        ]",2253.92453683715,"[0.04639919 0.04359717 0.19075174 0.06616767 0.04912645 0.1209228
 0.0962992  0.00146224 0.20633521 0.17893831 0.         0.        ]",5
2024-06-24 00:00:00+00:00,2241.185019776508,"[0.04597059 0.04421665 0.19482848 0.06618957 0.04896376 0.12044949
 0.09548748 0.00146788 0.20376999 0.17865613 0.         0.        ]",2230.2703762735264,"[0.04597059 0.04421665 0.26504951 0.         0.04896376 0.24320479
 0.1724707  0.00146788 0.         0.17865613 0.         0.        ]",5
2024-07-01 00:00:00+00:00,2252.422690898556,"[0.04552298 0.04497372 0.26150284 0.         0.04838928 0.24832644
 0.17386127 0.001464   0.         0.17595946 0.         0.        ]",2276.93842754605,"[0.04552298 0.04497372 0.26150284 0.         0.04838928 0.27040082
 0.22774635 0.001464   0.         0.1        0.         0.        ]",3
2024-07-08 00:00:00+00:00,2292.913027251002,"[0.04654297 0.04392249 0.26089146 0.         0.04922552 0.26957774
 0.22636424 0.00151795 0.         0.10195763 0.         0.        ]",2309.264105946108,"[0.04654297 0.04392249 0.26089146 0.         0.04922552 0.26957774
 0.22636424 0.00151795 0.         0.10195763 0.         0.        ]",0
2024-07-15 00:00:00+00:00,2289.637249937747,"[0.04673965 0.04368309 0.26850552 0.         0.04992334 0.25685212
 0.23019122 0.00155087 0.         0.10255419 0.         0.        ]",2251.6902242001465,"[0.04673965 0.3        0.02006655 0.3        0.04992334 0.25685212
 0.01720316 0.00155087 0.         0.00766431 0.         0.        ]",5
2024-07-22 00:00:00+00:00,2240.393829747355,"[0.04761132 0.29651753 0.02012843 0.30545308 0.05074967 0.25278253
 0.01737847 0.00156716 0.         0.00781183 0.         0.        ]",2229.390163692748,"[0.04761132 0.23383288 0.02012843 0.00941563 0.3        0.25278253
 0.01737847 0.00156716 0.10947176 0.00781183 0.         0.        ]",4
2024-07-29 00:00:00+00:00,2193.885104167356,"[0.04769847 0.24056963 0.01961329 0.00927046 0.29623805 0.24314379
 0.01783296 0.0016367  0.11601076 0.00798589 0.         0.        ]",2176.813399378499,"[4.76984662e-02 2.85448520e-01 1.96132916e-02 9.27046003e-03
 5.55111512e-17 2.86078802e-01 1.78329577e-02 1.63670156e-03
 1.56886512e-01 1.75534288e-01 0.00000000e+00 0.00000000e+00]",5
2024-08-05 00:00:00+00:00,2176.878269204545,"[4.69130401e-02 2.87023176e-01 1.98367894e-02 9.34512110e-03
 5.62105437e-17 2.87341892e-01 1.78076777e-02 1.63469791e-03
 1.55592454e-01 1.74505152e-01 0.00000000e+00 0.00000000e+00]",2167.572461806701,"[4.69130401e-02 0.00000000e+00 1.98367894e-02 1.14355599e-01
 5.62105437e-17 1.80650030e-01 2.70022916e-01 1.63469791e-03
 7.99181536e-02 2.86668774e-01 0.00000000e+00 0.00000000e+00]",6
2024-08-12 00:00:00+00:00,2232.4171740136353,"[4.65841975e-02 0.00000000e+00 1.94889363e-02 1.14621578e-01
 5.57591237e-17 1.88854539e-01 2.66684517e-01 1.58911316e-03
 7.84717376e-02 2.83705381e-01 0.00000000e+00 0.00000000e+00]",2304.107335291435,"[4.65841975e-02 0.00000000e+00 7.78501243e-02 1.17797905e-02
 5.57591237e-17 3.00000000e-01 2.66684517e-01 1.58911316e-03
 1.52201334e-01 1.43310924e-01 0.00000000e+00 0.00000000e+00]",5
2024-08-19 00:00:00+00:00,2335.3829643107256,"[4.70564463e-02 0.00000000e+00 7.67396291e-02 1.17972812e-02
 5.60132477e-17 2.99404774e-01 2.67459584e-01 1.62438737e-03
 1.52139924e-01 1.43777974e-01 0.00000000e+00 0.00000000e+00]",2362.451347391376,"[4.70564463e-02 0.00000000e+00 1.38529145e-01 1.17972812e-02
 5.60132477e-17 2.99404774e-01 2.67459584e-01 1.62438737e-03
 4.74759006e-02 1.86652482e-01 0.00000000e+00 0.00000000e+00]",3
2024-08-26 00:00:00+00:00,2368.335841581201,"[4.77241283e-02 0.00000000e+00 1.39545547e-01 1.21149431e-02
 5.68162611e-17 2.93820080e-01 2.68979231e-01 1.62707635e-03
 4.79042340e-02 1.88284760e-01 0.00000000e+00 0.00000000e+00]",2370.3646105443177,"[4.77241283e-02 3.51795501e-02 2.39468511e-01 1.21149431e-02
 5.68162611e-17 2.93820080e-01 1.02362674e-01 1.62707635e-03
 4.79042340e-02 2.19798803e-01 0.00000000e+00 0.00000000e+00]",4
